brandDomain,instagramHandle,followers,followers_growth30d,postCount,publishTime_latest,maxCountry,maxCountryPercent,avgAge,genderManPercent,genderWomanPercent,demographicUpdatedAt,product type
temu.com,tpt_cycling,155494,0.02333421078,2,1776271208000,ESP,0.6519,30.501,0.3711,0.6289,2026-01-11,E-commerce
nike.com,okan.aldikacti,88257,-0.007436043048,1,1776239719000,USA,0.4797,,,,2026-01-11,Sportswear
lancome.com,ashleighuynh,143839,-0.005884596378,3,1776232491000,AUS,0.4975,32.04445,0.233,0.767,2026-01-11,Skincare
samsung.com,ellasandramuse,203735,0.01996217693,1,1776210758000,USA,0.8167,29.16065,0.4807,0.5193,2026-01-11,Smartphone
samsung.com,dadsocial,5759777,0.005339032725,1,1776203308000,USA,0.8044,30.5645,0.2724,0.7276,2026-01-11,Smartphone
adidas.com,nbagleague,1586155,0.001957505449,1,1776197034000,USA,0.8162,31.43435,0.3144,0.6856,2026-01-11,Sportswear
lancome.com,goodlifecarrie,244257,-0.009001306953,1,1776190764000,GBR,0.5194,31.22515,0.1373,0.8627,2026-01-11,Skincare
samsung.com,enchiisaiko,134545,-0.00362587037,5,1776188244000,,,,,,,Smartphone
temu.com,coisinhasdalaisa,491033,0.03139907233,1,1776184265000,,,,,,,E-commerce
maybelline.com,krisiyat,106104,0.02511980213,6,1776179993000,GBR,0.4189,32.74575,0.2122,0.7878,2026-01-11,Cosmetics
nike.com,scottie.scheffler,1951656,0.04674097447,1,1776179396000,USA,0.7951,34.2495,0.2548,0.7452,2026-01-11,Sportswear
temu.com,sharel.plepi,57192,-0.02387738731,10,1776178787000,,,,,,,E-commerce
lancome.com,romi_1006,253316,0.0009008724238,1,1776160543000,JPN,0.822,28.2556,0.2877,0.7123,2026-01-11,Skincare
temu.com,beautycravex,67180,0.00492139235,1,1776130432000,,,,,,,E-commerce
temu.com,casacarolmatias,28790,0.2171817528,1,1776113863000,,,,,,,E-commerce
lancome.com,emeisern,38573,0.0004561211458,4,1776102574000,,,32.5424,0.2765,0.7235,2026-01-11,Skincare
temu.com,mateuspinhogamer_,347855,0.04240615355,1,1776099488000,,,,,,,E-commerce
hm.com,aashnashroff,1041721,,1,1776090758000,USA,0.4797,29.12755,0.3166,0.6834,2026-01-11,Retails
lancome.com,claudiali,88613,,1,1776090281000,,,,,,,Skincare
temu.com,eriketta_life,224133,0.005584621418,1,1776087982000,ITA,0.8449,27.96945,0.3684,0.6316,2026-01-11,E-commerce
temu.com,what_riya_does,42603,-0.001983104286,1,1776084284000,,,,,,,E-commerce
temu.com,uradisamaideje,101982,0.009552847541,2,1776084039000,USA,0.2788,33.808,0.332,0.668,2026-01-11,E-commerce
maybelline.com,suki_na_official,191663,0.03158319653,1,1776074400000,,,,,,,Cosmetics
apple.com,barclayswsl,543524,0.0134369684,1,1776070852000,GBR,0.5339,29.8572,0.6377,0.3623,2026-01-11,Smartphone
maybelline.com,y.makeup.u,146352,0.08179305836,1,1776067282000,JPN,0.8363,34.28535,0.2166,0.7834,2026-01-11,Cosmetics
maybelline.com,daily_dose_of_glam_by_teena,223539,0.0350273644,2,1776061420000,,,,,,,Cosmetics
hm.com,kusum_reang,59593,0.001512452526,3,1776059685000,IND,0.7887,30.529,0.4618,0.5382,2026-01-11,Retails
shopee.com,foodielife_wing,10890,-0.0008878366381,2,1776052814000,TWN,0.8916,,,,,E-commerce
