Rank,Channel ID,Channel Name,Subscribers,Video Price,CPM,Country,Language,Avg Age,Male %,Female %,Avatar URL
1,UCdLuu6qncgyTpRGJu02sTfA,ALTIS World,15300,39,2.55,USA,eng,36,74.7,25.3,https://yt3.googleusercontent.com/ytc/AIdro_kxpKikN-FLYuYMOe7_Ncphy_TuDL3U49t2x37MsZI0ng=s900-c-k-c0x00ffffff-no-rj
2,UCeSHo5kTvzoik4STh7MuMCA,Seth James DeMoor,169000,258,1.53,USA,eng,36,79.1,20.9,https://yt3.googleusercontent.com/-LH6yU1_-e-OtV9ZnHvPZvkGbmO-xLc56FFVudAxfSxFGDyPpDcPaq_AUr9vluUiWZyPVJoE=s900-c-k-c0x00ffffff-no-rj
3,UC029CQxPO_w-ENYRuhK1Q_g,Fleet Feet,38100,338,8.87,USA,eng,35,86.3,13.7,https://yt3.googleusercontent.com/ytc/AIdro_mVuXVde_AzMybC3oM7D9fa2FtHLcvB-1zurfim3A6xw5w=s900-c-k-c0x00ffffff-no-rj
4,UCnVo8RafJC8kNL6CVI_h_Sg,Alastair Running,18100,409,22.60,USA,eng,34,86.9,13.1,https://yt3.googleusercontent.com/XWvoP99aQNnd12PiABqaMr7pis0svOYr9Lx04YuValD7Kj0-VF_rrPMOur8sce0V0tsFVQdSVSA=s900-c-k-c0x00ffffff-no-rj
5,UCch0pyPXmlB1X1x324uk1Pw,David Bluetile,129000,459,3.56,USA,eng,30,92.3,7.7,https://yt3.googleusercontent.com/fzNNnXrwTaSL0IgmFKTdSx3tHGyCmRVDWIejR-IXYylligiCc8SoEmKc95aZMVbFrJYq4gMYhQ=s900-c-k-c0x00ffffff-no-rj
6,UC2-2J_y_jpOYz8Rld5C6C5w,Believe in the Run,123000,477,3.88,USA,eng,36,74.6,25.4,https://yt3.googleusercontent.com/qV-5WpA0CnzB16EEJoMocQaQuIXfnFvHrEAc1qj3VbCV9_ebQ68G4bf6hRC2BzD0zqjEjAQ3miw=s900-c-k-c0x00ffffff-no-rj
7,UCpUtRsyAx5rluUDmF4k_gHw,Doctors of Running,46700,481,10.30,USA,eng,36,82.0,18.0,https://yt3.googleusercontent.com/ytc/AIdro_nAAyP_QoVYNJngOluYHOnsZxqignssCP8bAAIagsY7jA=s900-c-k-c0x00ffffff-no-rj
8,UCwZcNfPpV9CXSVbpH1ckVmw,REI,449000,583,1.30,USA,eng,41,77.0,23.0,https://yt3.googleusercontent.com/ytc/AIdro_lUHsFlWaQfLNKhYHZLgGcKJi5KSUr85H6SVO7smUbsrng=s900-c-k-c0x00ffffff-no-rj
9,UCrBbne8HfONwYK569YNTOgA,VertiMax,22700,1060,46.70,USA,eng,34,91.3,8.7,https://yt3.googleusercontent.com/QtbvfYOEjgMmjxaoUjt_sFnipY2PMhE64eH6CVuKbtkIXycjLbFYp6B3dZexCBLJVf9feaYnGJo=s900-c-k-c0x00ffffff-no-rj
10,UC3h4BbV9hbAcYlM4__imOyw,RunRepeat.com,54600,1103,20.20,USA,eng,0,0.0,0.0,https://yt3.googleusercontent.com/ytc/AIdro_kJRiWbuJNw1amyOJsNOoHA6_VHevyBe7GOwWDrr1Md0g=s900-c-k-c0x00ffffff-no-rj
11,UCvJ3gIxdoPpGYnrbXECnw_w,Jason and Lauren,158000,1187,7.51,USA,eng,32,91.7,8.3,https://yt3.googleusercontent.com/SXnGijIztssWpVoZ2jka-gXetIOP0yn-MacA0TlG9SRCPFGmdbPcFGJtw22QOaHHV8nv8nmE=s900-c-k-c0x00ffffff-no-rj
12,UCqTtwbwc3VgVKax6NP-ZvJw,DanteTheBody FIT,396000,1388,3.51,USA,eng,34,51.6,48.4,https://yt3.googleusercontent.com/gwHxgkLkk0VTkG72Xp0PtdmqYqTMxYEx50nxiLWL4cztOoITDgyYIVcfKhHqUO6e73lO7nTnPA=s900-c-k-c0x00ffffff-no-rj
13,UCMHe0UKRkYxb8JWt7C_c_kA,NOBULL,12400,2202,177.58,USA,eng,35,70.0,30.0,https://yt3.googleusercontent.com/bR6uDBc6mcZRDargjElzMF6Z6IscDgJ45UG9kvSarR1g_qPDBHCJFc41Kgj9XRW4sng7x_iLdg=s900-c-k-c0x00ffffff-no-rj
14,UCICRLxrMEgzYMMOdjGDiOvQ,Road Runner Sports,56500,3213,56.87,USA,eng,34,95.0,5.0,https://yt3.googleusercontent.com/OMGvhMeEkZuEkMRu6rvJtGLFnvFE5-hBKqB9cmcXxFFIzIcRHS1fQ-1wV9IaOwwcGAl_cgXRhA=s900-c-k-c0x00ffffff-no-rj
15,UCmVhS0qulkRshtLrXMeMToQ,DesFit,268000,3414,12.74,USA,eng,45,88.7,11.3,https://yt3.googleusercontent.com/ytc/AIdro_keAmSMJ33UQ62Z91pWfMuuiSUtKqyqNch5hHUWStJNA1c=s900-c-k-c0x00ffffff-no-rj
